"Question;A;B;C;D;E;Answer";;;;;;;;;;
"Желі түйіндерінің бір орталық құрылғыға тікелей қосылуы арқылы байланыс орнату тәсілі;Сақина топологиясы;Ағаш тәріздес топология;Жұлдызша топологиясы;Шина топологиясы;Тор топологиясы;C";;;;;;;;;;
;;;;;;;;;;
OSI үлгісіндегі деректерді жіберу;" маршрутизациялау және IP-адрес тағайындау қызметі атқарылатын деңгей"";Тасымалдау деңгейі;Желі деңгейі;Физикалық деңгей;Сеанс деңгейі;Қолданбалы деңгей;B";;;;;;;;;
;;;;;;;;;;
"Екі түрлі желіні байланыстыру үшін қолданылатын құрылғы"";Коммутатор;Модем;Көпір;Маршрутизатор;Түйін;D";;;;;;;;;;
;;;;;;;;;;
"Электрондық поштаны алу үшін қолданылатын хаттама"";HTTP;FTP;POP3;SMTP;SNMP;C";;;;;;;;;;
;;;;;;;;;;
"Бір мекемеге немесе үй ішіндегі бірнеше құрылғыны қосу үшін құрылған шектеулі географиялық аймақтағы желі"";MAN;WAN;LAN;WLAN;SAN;C";;;;;;;;;;
;;;;;;;;;;
"NAT технологиясын қолдану нәтижесінде жеке IP-адресті қоғамдық желіге шығаруға мүмкіндік берілуі"";Желілік хаттамаларды шифрлау;IP-адресті сүзу;Жеке IP-адресті қоғамдық IP-адреске түрлендіру;Деректерді маршрутизациялау;Қауіпсіздік сертификатын беру;C";;;;;;;;;;
;;;;;;;;;;
"Қолданушы мен желілік құрылғылар арасындағы мәлімет алмасуды ұйымдастыру қызметін атқаратын OSI үлгісінің деңгейі"";Қолданбалы деңгей;Сеанс деңгейі;Тасымалдау деңгейі;Мәлiметтер арнасы деңгейi;Физикалық деңгей;A";;;;;;;;;;
;;;;;;;;;;
"DNS қызметінің негізгі міндеті"";IP-адрестерді шифрлау;Домендік аттарды IP-адрестерге түрлендіру;Порттарды басқару;Желіні қорғау;Электрондық поштаны сүзу;B";;;;;;;;;;
;;;;;;;;;;
Сервердің деректерді сақтап;" желідегі басқа құрылғыларға бөлісуге арналған түрі"";Қолданбалы сервер;Пошта сервері;Файл сервері;DHCP сервері;Веб-сервер;C";;;;;;;;;
;;;;;;;;;;
"Компьютерлерді әртүрлі географиялық аймақта біріктіру арқылы құрылған кең ауқымды желі түрі"";LAN;MAN;PAN;WAN;WLAN;D";;;;;;;;;;
;;;;;;;;;;
"Желі құрылғылары арасындағы физикалық байланыс пен сигналдарды тасымалдау деңгейі"";Мәлiметтер арнасы деңгейi;Физикалық деңгей;Сеанс деңгейі;Қолданбалы деңгей;Тасымалдау деңгейі;B";;;;;;;;;;
;;;;;;;;;;
"Интернетке қосылған құрылғының бірегей сандық мекенжайы"";DNS атауы;MAC адрес;IP адрес;Порт нөмірі;Хост аты;C";;;;;;;;;;
;;;;;;;;;;
"Деректерді пакеттерге бөлу және қабылдаушы құрылғыға жеткізуді қамтамасыз ететін хаттама"";FTP;HTTP;TCP;SMTP;ARP;C";;;;;;;;;;
;;;;;;;;;;
"Электронды пошта арқылы хабарлама жіберуге арналған хаттама"";POP3;IMAP;SMTP;SNMP;HTTPS;C";;;;;;;;;;
;;;;;;;;;;
"Желі ресурстарына сырттан қауіпсіз қатынау мүмкіндігін беретін технология"";NAT;DNS;VPN;FTP;ARP;C";;;;;;;;;;
;;;;;;;;;;
"Коммутатордың негізгі қызметі"";IP-адресті беру;Сигналды шифрлау;Желі трафигін сүзу;Кадрларды MAC адрес арқылы бағыттау;Желіні интернетке қосу;D";;;;;;;;;;
;;;;;;;;;;
"Желі деңгейінде жұмыс істейтін құрылғы"";Коммутатор;Көпір;Маршрутизатор;Концентратор;Фаервол;C";;;;;;;;;;
;;;;;;;;;;
Пошта жәшігін серверде қалдыра отырып;" хабарламаларды көруге мүмкіндік беретін хаттама"";POP3;SMTP;SNMP;IMAP;HTTP;D";;;;;;;;;
;;;;;;;;;;
"Желідегі екі құрылғы бір уақытта дерек жібере алатын мәлімет тасымалдау режимі"";Жартылай дуплекс;Біржақты байланыс;Толық дуплекс;Уақытша қосылу;Тізбекті байланыс;C";;;;;;;;;;
;;;;;;;;;;
"MAC-адрес желінің қай деңгейінде жұмыс істейді"";Қолданбалы;Тасымалдау;Арналық;Желі;Сеанс;C";;;;;;;;;;
;;;;;;;;;;
"Қоғамдық IP-адрестердің жетіспеушілігін шешуге арналған механизм"";DNS;NAT;DHCP;FTP;IPsec;B";;;;;;;;;;
;;;;;;;;;;
"Желілік қауіпсіздікті сертификаттау үшін қолданылатын хаттама"";TCP;SNMP;SSL;FTP;HTTP;C";;;;;;;;;;
;;;;;;;;;;
"Желі арқылы файл жіберуді қамтамасыз ететін хаттама"";DHCP;FTP;SMTP;DNS;SNMP;B";;;;;;;;;;
;;;;;;;;;;
"OSI үлгісіндегі 7 деңгейдің ең жоғарғы деңгейі"";Қолданбалы;Сеанс;Тасымалдау;Мәлiметтер арнасы;Желі;A";;;;;;;;;;
;;;;;;;;;;
Ірі ұйымдарда ішкі қолдануға арналған;" сыртқы қолжетімсіз желі түрі"";Extranet;Internet;Intranet;VPN;WAN;C";;;;;;;;;
;;;;;;;;;;
"IPv4-те қолданылатын адрес ұзындығы"";64 бит;128 бит;16 бит;32 бит;8 бит;D";;;;;;;;;;
;;;;;;;;;;
"Желі құрылғысының физикалық адресі ретінде қолданылатын идентификатор"";IP адрес;MAC адрес;DNS атауы;Порт нөмірі;Сервер атауы;B";;;;;;;;;;
;;;;;;;;;;
"IP-пакеттерін желі арқылы жіберу үшін қолданылатын хаттама"";FTP;TCP;UDP;IP;SMTP;D";;;;;;;;;;
;;;;;;;;;;
"Желідегі құрылғылар арасында байланыс орнату мен бұзуды қамтамасыз ететін OSI деңгейі"";Сеанс деңгейі;Физикалық деңгей;Қолданбалы деңгей;Желі деңгейі;Мәлiметтер арнасы;A";;;;;;;;;;
;;;;;;;;;;
"ACL (Access Control List) көмегімен басқарылатын функция"";Деректерді шифрлау;Адресті маршрутизациялау;Желілік қатынауға рұқсат беру және шектеу;IP-адресті тағайындау;DNS түрлендіру;C";;;;;;;;;;
;;;;;;;;;;
"Сервер мен клиент арасында сенімді және реттелген байланыс орнату үшін қолданылатын хаттама"";UDP;ICMP;TCP;ARP;IP;C";;;;;;;;;;
;;;;;;;;;;
"Желілік ақаулар мен қателер туралы хабарлайтын хаттама"";TCP;SNMP;HTTP;ICMP;FTP;D";;;;;;;;;;
;;;;;;;;;;
"Домендік аттарды IP-адрестерге түрлендіру процесін қамтамасыз ететін қызмет"";DHCP;NAT;DNS;FTP;IPsec;C";;;;;;;;;;
;;;;;;;;;;
"Қашықтан қатынау кезінде қауіпсіз байланысты қамтамасыз ету тәсілі"";VPN;FTP;DNS;ARP;NAT;A";;;;;;;;;;
;;;;;;;;;;
"IPv6-да IP-адрес ұзындығы"";64 бит;128 бит;32 бит;16 бит;48 бит;B";;;;;;;;;;
;;;;;;;;;;
"Коммутатор қай деңгейде жұмыс істейді"";Физикалық;Арналық;Желі;Қолданбалы;Тасымалдау;B";;;;;;;;;;
;;;;;;;;;;
"Хост атауын IP-адреске сәйкестендіруді орындайтын желілік қызмет"";NAT;DNS;FTP;VPN;DHCP;B";;;;;;;;;;
;;;;;;;;;;
"DHCP қызметінің негізгі мақсаты"";Хаттамаларды шифрлау;IP-адресті автоматты түрде тағайындау;Желіні шектеу;Файлдарды жіберу;Желіні маршрутизациялау;B";;;;;;;;;;
;;;;;;;;;;
"Желіде нақты пайдаланушыларға немесе құрылғыларға қол жеткізуді шектеу құралы"";DNS;SSL;ACL;FTP;IPsec;C";;;;;;;;;;
;;;;;;;;;;
"Пошта сервері қандай қызмет атқарады"";Файлдарды қабылдау;Маршрутизаторды орнату;Хат алмасуды ұйымдастыру;Желіні басқару;Адресті шифрлау;C";;;;;;;;;;
;;;;;;;;;;
"Электрондық поштаны жеткізуді ұйымдастыратын желілік қызмет"";FTP;DNS;SMTP;SNMP;DHCP;C";;;;;;;;;;
;;;;;;;;;;
"Қолданушы компьютеріне желі арқылы файлдарды жүктеу хаттамасы"";SNMP;HTTP;FTP;SMTP;TCP;C";;;;;;;;;;
;;;;;;;;;;
"Желі қауіпсіздігін қамтамасыз ететін сандық куәліктің қызметі"";IP-маршрутизациялау;VPN орнату;Қолданушыны аутентификациялау;Желілік хаттаманы анықтау;Файлдарды шифрлау;C";;;;;;;;;;
;;;;;;;;;;
"Қашықтан қатынау кезінде қолданылатын қауіпсіз байланыс технологиясы"";NAT;VPN;FTP;DHCP;POP3;B";;;;;;;;;;
;;;;;;;;;;
"DNS серверінің негізгі функциясы"";Электрондық пошта жіберу;IP-адрес тағайындау;Домендік атауды IP-адреске сәйкестендіру;Хаттама шифрлау;Желілік құрылғыларды бақылау;C";;;;;;;;;;
;;;;;;;;;;
"Желілік ақаулар туралы хабарламалар жіберуге арналған хаттама"";SNMP;DHCP;FTP;ICMP;IMAP;D";;;;;;;;;;
;;;;;;;;;;
"Желідегі мәліметтерді беру кезінде сенімді байланысты қамтамасыз ететін хаттама"";UDP;TCP;FTP;ARP;SMTP;B";;;;;;;;;;
;;;;;;;;;;
"Интернет арқылы қашықтағы серверге қауіпсіз қосылу үшін қолданылатын протокол"";HTTP;SSH;POP3;SMTP;SNMP;B";;;;;;;;;;
;;;;;;;;;;
"Интранет желісінің сипаттамасы"";Қоғамдық қолжетімділікпен сипатталады;Электрондық пошта қызметіне арналған;Ішкі желі ретінде шектелген мекемеге тиесілі;Деректерді жария түрде бөліседі;Желі қауіпсіздігін қамтамасыз етпейді;C";;;;;;;;;;
;;;;;;;;;;
"Физикалық кабель арқылы қосылған желі түрі"";WLAN;Wi-Fi;Bluetooth;Ethernet;LTE;D";;;;;;;;;;
;;;;;;;;;;
"IP адрес пен MAC адрес арасындағы сәйкестікті анықтайтын хаттама"";FTP;DNS;ARP;DHCP;ICMP;C";;;;;;;;;;
;;;;;;;;;;
"Хаттамалар стегінің ең төменгі деңгейі"";Қолданбалы;Сеанстық;Желі;Физикалық;Көлік;D";;;;;;;;;;
;;;;;;;;;;
"NAT технологиясының желіде атқаратын рөлі"";DNS атауларын түрлендіру;IP-мекенжайларды ауыстыру;Файлдарды жіберу;Желіні өшіру;MAC-адресті өзгерту;B";;;;;;;;;;
;;;;;;;;;;
"DNS жүйесінде мекенжайды кэштеу нәтижесі"";Қауіпсіздікті арттыру;Мекенжайларды өзгерту;Анықтау жылдамдығын арттыру;Желі ресурстарын бұғаттау;Сертификаттарды жаңарту;C";;;;;;;;;;
;;;;;;;;;;
"IP пакеттері жоғалғанда қайта жіберуді қамтамасыз ететін хаттама"";TCP;UDP;FTP;SNMP;ICMP;A";;;;;;;;;;
;;;;;;;;;;
"Желіде автоматты түрде IP мекенжайын тағайындау қызметі"";DNS;NAT;DHCP;TCP;VPN;C";;;;;;;;;;
;;;;;;;;;;
"Желі трафигін сүзу және басқару үшін қолданылатын құрылғы"";Коммутатор;Брандмауэр (фаервол);Модем;FTP-сервер;DNS сервер;B";;;;;;;;;;
;;;;;;;;;;
"FTP қызметінің стандартты порты"";80;443;25;20/21;110;D";;;;;;;;;;
;;;;;;;;;;
"Wi-Fi желісінің сипаттамасы"";Оптикалық кабель арқылы таралады;Радиотолқын арқылы деректерді тасымалдайды;Тек сымды қосылуды қолдайды;Сертификатсыз жұмыс істейді;Тек кеңселерге арналған;B";;;;;;;;;;
;;;;;;;;;;
"IP-адресті статикалық түрде тағайындау нәтижесі"";Желінің автоматты өзгеруі;Уақытша байланыс;Өзгермейтін мекенжай;Желіден ажырату;Сервер ауысады;C";;;;;;;;;;
;;;;;;;;;;
"WAN желісінің басты ерекшелігі"";Шағын аймаққа таралуы;Радиотолқынмен жұмыс істеуі;Кең географиялық ауқымды қамтуы;Тек үй желісінде қолданылуы;Кабельсіз жұмыс істеуі;C";;;;;;;;;;
;;;;;;;;;;
"Электрондық поштаны басқаруға арналған протокол"";IMAP;FTP;TCP;HTTP;ARP;A";;;;;;;;;;
;;;;;;;;;;
"NAT қолдану арқылы көп құрылғыға бір IP арқылы интернетке шығу мүмкіндігі"";Домен басқару;Сертификаттау;Адресті түрлендіру;Желілік шифрлау;Портты ашу;C";;;;;;;;;;
;;;;;;;;;;
"Қолданушы мәліметтерін серверге жіберуге арналған хаттама"";FTP;TCP;UDP;HTTP;SMTP;E";;;;;;;;;;
;;;;;;;;;;
"DNS кэшін тазарту қажеттігі"";Поштаны жаңарту;Желіні өшіру;Ескі IP-мекенжайлардан арылу;MAC адресін өзгерту;Парольді қалпына келтіру;C";;;;;;;;;;
;;;;;;;;;;
"SSL/TLS хаттамасы қай мақсатта қолданылады"";IP маршрутизациясы;Серверді қайта іске қосу;Мәліметтерді қорғау және шифрлау;Қашықтан қосылу;Файл жіберу;C";;;;;;;;;;
;;;;;;;;;;
"IMAP қызметінің ерекшелігі"";Хаттарды тек жүктеп алу;Хаттарды серверде сақтау;Желі маршрутизациясы;DNS түрлендіру;Портты шифрлау;B";;;;;;;;;;
;;;;;;;;;;
"Қауіпсіздік сертификаты қандай ақпаратты қамтиды"";DNS атауы мен IP адрес;Пайдаланушы аты мен пароль;Ашық кілт және иесінің мәліметтері;Порт нөмірі;Желі көлемі;C";;;;;;;;;;
;;;;;;;;;;
"Желінің барлық құрылғылары бір кабельге қосылған топология"";Жұлдызша;Сақина;Шина;Ағаш тәрізді;Тор;C";;;;;;;;;;
;;;;;;;;;;
"Екі желіні біріктіруге арналған құрылғы"";Концентратор;Коммутатор;Көпір (Bridge);Модем;Брандмауэр;C";;;;;;;;;;
;;;;;;;;;;
"Желі деңгейіндегі деректер пакеттерін бағыттау процесі"";Коммутация;Аутентификация;Маршрутизация;Сүзгілеу;Шифрлау;C";;;;;;;;;;
;;;;;;;;;;
"OSI моделінің көлік деңгейінің негізгі қызметі"";IP-адрес тағайындау;Доменді шешу;Қолданбалы интерфейс ұсыну;Сенімді деректер жеткізу;Физикалық қосылуды орнату;D";;;;;;;;;;
;;;;;;;;;;
"POP3 хаттамасының басты ерекшелігі"";Электрондық поштаны серверде сақтау;Хаттарды серверден жүктеп алып";" жою;Желі ақауларын жіберу;Желілік портты ашу;DNS атауын түрлендіру;B";;;;;;;;;
;;;;;;;;;;
"Желілік қауіпсіздікті басқаруға арналған ереже жинағы"";NAT;ACL;FTP;DHCP;TCP;B";;;;;;;;;;
;;;;;;;;;;
"Сервер мен клиент арасында жеке арна арқылы шифрланған байланыс орнату тәсілі"";VPN;HTTP;FTP;NAT;POP3;A";;;;;;;;;;
;;;;;;;;;;
"Сервердің тек клиенттің сұранысына жауап беретін түрі"";Баспа сервері;Базалық сервер;Веб-сервер;Клиент-сервер;Қарапайым файл сервері;D";;;;;;;;;;
;;;;;;;;;;
"OSI моделінің мәліметтер каналы деңгейінде жұмыс істейтін құрылғы"";Маршрутизатор;Коммутатор;Брандмауэр;Сервер;Модем;B";;;;;;;;;;
;;;;;;;;;;
"DHCP хаттамасының функциясы"";Порттарды шифрлау;IP мекенжайларын автоматты түрде беру;DNS кэшін тазарту;Электрондық поштаны бағыттау;Виртуалды желі құру;B";;;;;;;;;;
;;;;;;;;;;
"NAT технологиясы қолданылатын жағдай"";DNS қызметін орнату;Ішкі IP адресін сыртқыға түрлендіру;Серверде хат сақтау;Веб-серверді құру;Коммутаторды баптау;B";;;;;;;;;;
;;;;;;;;;;
"Желілік принтерге ортақ қол жеткізуді қамтамасыз ететін сервер түрі"";Веб-сервер;Прокси сервер;Баспа сервері;Дерекқор сервері;DNS сервері;C";;;;;;;;;;
;;;;;;;;;;
"Қайта жіберу мен деректер жоғалуын болдырмайтын көлік деңгейінің хаттамасы"";UDP;FTP;SMTP;TCP;ARP;D";;;;;;;;;;
;;;;;;;;;;
"Хаттамалар иерархиясында қолданбалы деңгейге жататын хаттама"";TCP;IP;SMTP;ARP;ICMP;C";;;;;;;;;;
;;;;;;;;;;
Хаттама мен порттарды қолданып;" желі трафигін шектеуге мүмкіндік беретін тізім"";DNS;DHCP;NAT;ACL;VPN;D";;;;;;;;;
;;;;;;;;;;
"Қолданушыға нақты IP мекенжайды қолмен беру түрі"";Динамикалық IP;DHCP IP;Виртуалды IP;Статикалық IP;Жасырын IP;D";;;;;;;;;;
;;;;;;;;;;
"Пошта серверінде хаттарды сақтау мүмкіндігін ұсынатын хаттама"";FTP;HTTP;IMAP;TCP;SSH;C";;;;;;;;;;
;;;;;;;;;;
"Желідегі құрылғылар MAC мекенжай бойынша байланысатын деңгей"";Қолданбалы;Желілік;Мәліметтер каналы;Сеанстық;Көлік;C";;;;;;;;;;
;;;;;;;;;;
"Сертификаттар қолданылатын қауіпсіздік қызметі"";Құрылғы сәйкестендіру;Электрондық пошта жіберу;IP маршрутизациялау;DNS шешімі;Серверді қайта жүктеу;A";;;;;;;;;;
;;;;;;;;;;
"Желілік трафикті басқаруға арналған бағдарламалық құрал"";Архиватор;Мониторинг жүйесі;Файл менеджері;VPN клиенті;SSH протоколы;B";;;;;;;;;;
;;;;;;;;;;
"Пошта хаттамасының стандартты порты"";21;25;53;443;110;B";;;;;;;;;;
;;;;;;;;;;
"Желінің логикалық құрылымын анықтайтын сипаттама"";Желілік карта;Желілік хаттама;Желілік топология;Желілік кабель;Желілік адаптер;C";;;;;;;;;;
;;;;;;;;;;
"IP желісіндегі қашықтағы желі ресурстарына қол жеткізуге мүмкіндік беретін тәсіл"";NAT;VPN;DHCP;FTP;HTTP;B";;;;;;;;;;
;;;;;;;;;;
"Ақпарат жіберушіден қабылдаушыға дейін қандай жолмен жүретінін анықтайтын процесс"";Адрестеу;Рұқсат;Шифрлау;Маршрутизация;Сервер таңдау;D";;;;;;;;;;
;;;;;;;;;;
"Интернетке қосылусыз локалды байланыс орнату тәсілі"";WAN;VPN;NAT;LAN;ACL;D";;;;;;;;;;
;;;;;;;;;;
"Желідегі негізгі ресурстарға кіруді реттейтін құрылғы"";Маршрутизатор;Прокси;Сервер;Коммутатор;Клиент;C";;;;;;;;;;
;;;;;;;;;;
"DNS қызметінің қолданылуы"";Шифрлау;Сертификаттау;IP-адреске доменді түрлендіру;Веб-серверді басқару;Хаттарды сақтау;C";;;;;;;;;;
;;;;;;;;;;
