"Question;A;B;C;D;E;Answer";;;;;;;;;;
"Конфигурацияны басқару құралдарының бірі болып табылатын Ansible ерекшелігі"";Визуалды дизайн жасау;Агентсіз жұмыс істеу мүмкіндігі;Тек Windows жүйесіне арналған;Видео өңдеу;Деректерді шифрлау;B";;;;;;;;;;
;;;;;;;;;;
"Бұлтты инфрақұрылымды басқаруда автоматтандыруды қамтамасыз ететін тәсіл "";Ручной басқару;Скрипт жазу және орнату;Телефон қоңыраулары арқылы басқару;Ақпаратты қағазға жазу;Қолданбаны қолдану;B";;;;;;;;;;
;;;;;;;;;;
"Инфрақұрылымды код ретінде (IaC. басқарудың артықшылығы"";Қолмен баптаудың жылдамдығы;Қателердің қайталану мүмкіндігін азайту;Деректерді шифрлау;Wi-Fi жылдамдығын арттыру;Ойын бағдарламаларын орнату;B";;;;;;;;;;
;;;;;;;;;;
"Terraform мақсаты"";Дизайн жасау;Инфрақұрылымды код ретінде басқару;Вирус сканері;Дыбыс жазу;Көрнекі есеп жасау;B";;;;;;;;;;
;;;;;;;;;;
"Kubernetes қызметі"";Видео өңдеу";" баптау және сақтау;Контейнерлерді басқару";" оркестрациялау;Деректерді шифрлау;Мониторинг жүргізу;Дыбыс жазу;B";;;;;;;;
;;;;;;;;;;
"Бұлттық инфрақұрылымдағы “auto-scaling” түсінігі білдіреді"";Қолмен серверді қосу;Серверлерді автоматты түрде масштабтау;VPN орнату;Қауіпсіздік жүйесін қосу;Деректерді резервтеу;B";;;;;;;;;;
;;;;;;;;;;
"CI/CD бұлттық жүйелерде маңызы"";Жобаны архивтеу;Қауіпсіздікті тексеру;Автоматты түрде құрастыру";" тестілеу және орналастыру;Қолмен құрастыру;Тек серверді қосу;C";;;;;;;;;
;;;;;;;;;;
"Load Balancer қолданылады?"";Қолданушыларды есептеу үшін;Серверді баптау үшін;Жүктемені бірнеше серверге тең бөлу үшін;VPN орнату үшін;Қауіпсіздікті арттыру үшін;C";;;;;;;;;;
;;;;;;;;;;
"Бұлттық қауіпсіздіктің маңызды элемент"";Тексерілмеген бағдарламаларды жүктеу;Қолмен пароль жазу;Аутентификация және авторизация;Пайдаланушы интерфейсі;Дыбыс өңдеу;C";;;;;;;;;;
;;;;;;;;;;
"CloudFormation мақсаты"";Видео ойнату;AWS инфрақұрылымын код арқылы басқару;Желі конфигурациясын өшіру;Қолданушыны бұғаттау;Дыбыс жазу;B";;;;;;;;;;
;;;;;;;;;;
"Multicloud стратегиясының басты артықшылығы:"";Бір ғана провайдерге тәуелділік;Бірнеше бұлт провайдерлерін қолдану арқылы";" сенімділікті арттыру;Жергілікті серверді баптау;Тек SQL базасын қолдану;Тек VPN қолдану;B";;;;;;;;;
;;;;;;;;;;
"Hybrid cloud білдіреді"";Тек жеке сервер қолдану;Қосымша қауіпсіздік қолдану;Жеке және жария бұлтты араластыра қолдану;VPN қолдану;Дыбыс жазу;C";;;;;;;;;;
;;;;;;;;;;
"API Gateway қолданылады"";Дыбыс шығару үшін;Деректерді резервтеу үшін;API сұраныстарын басқару және бақылау;Серверді іске қосу үшін;Тек HTML құжаттарды басқару;C";;;;;;;;;;
;;;;;;;;;;
"Cloud Provider дегеніміз "";Желі адаптері;Бұлттық қызмет ұсынатын компания;Дыбыс жазу құрылғысы;Виртуалды машина;PDF редакторы;B";;;;;;;;;;
;;;;;;;;;;
"Бұлттық сервердің басты артықшылығы"";Тек жергілікті желіде жұмыс істейді;Интернетсіз қолданылады;Қолжетімділігі жоғары және масштабталуы оңай;Тек файл сақтау;Дыбыс жазу;C";;;;;;;;;;
;;;;;;;;;;
"VPN бұлттық инфрақұрылымда қолданылады"";Бейне өңдеу;Қауіпсіз байланыс орнату;Құжаттарды басып шығару;Дыбыс жазу;Мониторинг;B";;;;;;;;;;
;;;;;;;;;;
"Containerization дегеніміз "";Дыбыс жазу;Видео ойнату;Қолданбаларды контейнерлер арқылы оқшаулау және оңай тасымалдау;Файлдарды басып шығару;Вирустарды жою;C";;;;;;;;;;
;;;;;;;;;;
"IaC құралдарының бірі"";Photoshop;Jenkins;Ansible;PowerPoint;Telegram;C";;;;;;;;;;
;;;;;;;;;;
"Бұлтты инфрақұрылымдағы көпдеңгейлі аутентификацияның негізгі мақсаты  "";Деректерді жүктеу ;Пайдаланушы интерфейсін оңтайландыру ;Қол жеткізу қауіпсіздігін арттыру ;Виртуализацияны басқару ;Қызметтерді масштабтау ;C";;;;;;;;;;
;;;;;;;;;;
"Қауіпсіздік ережелерін басқару үшін _____ әдісі тиімді болып саналады"";Физикалық күзет;Лог-файлдарды жою ;Қауіпсіздік саясатын автоматтандыру ;DNS бұғаттау ;Қолмен бақылау ;C";;;;;;;;;;
;;;;;;;;;;
"Бұлтты жүйеде лог файлдарының маңыздылығы "";Құжаттарды көшіру ;Қызметтерді тоқтату ;Қауіпсіздік оқиғаларын бақылау ;Желіні кеңейту ;Серверлерді біріктіру ;C";;;;;;;;;;
;;;;;;;;;;
"DDoS шабуылдарынан қорғанудың тиімді жолы "";Автоматты резервтік көшіру ;Желіні кеңейту ;Жүктемені теңестіру және сүзгілеу ;DNS шифрлау ;Виртуалды сервер құру ;C";;;;;;;;;;
;;;;;;;;;;
"ISO/IEC 27001 стандарты бұлтты қауіпсіздікке әсері"";Сервер жылдамдығын арттырады ;Қызметтер санын азайтады ;Ақпараттық қауіпсіздік талаптарын белгілейді ;Қолданушыларды тіркеуден босатады ;Дерекқорды жояды;C";;;;;;;;;;
;;;;;;;;;;
"Бұлтты қызметтерге кіру мүмкіндігін шектеудің тиімді тәсілі "";Ашық желіні пайдалану ;Барлық қолданушыларға рұқсат беру ;Идентификация және аутентификация ;Электрондық поштамен жіберу ;DNS серверін өзгерту ;C";;;;;;;;;;
;;;;;;;;;;
"Желілік экран орындайтын қызмет"";Пайдаланушы интерфейсін жақсартады ;Қызметтерді көшіреді ;Зиянды трафикті бөгейді ;Сервер жүктемесін арттырады ;Дискті тазалайды ;C";;;;;;;;;;
;;;;;;;;;;
"Бұлтты ортада деректерді шифрлаудың басты себебі "";Жүйені өшіру ;Қызметтерді тоқтату ;Құпия деректерді қорғау ;Желіні бөлу ;Серверді жаңарту ;C";;;;;;;;;;
;;;;;;;;;;
Бұлтты платформалардағы қауіп-қатерлерді бағалау;" ол"";Желіні кеңейту ;Резервтік көшіру ;Тәуекелдерді талдау ;Құрылғыны қосу ;Порт ашу ;C";;;;;;;;;
;;;;;;;;;;
"Апаттық жағдайлардан кейін қызметті қайта қалпына келтірудің әдісі"";Сертификат  ;Резервтік көшіру ;IP мекенжай;DNS ;API ;B";;;;;;;;;;
;;;;;;;;;;
"Бұлтты сервистердегі пайдаланушылардың құқықтарын басқарудың жолы"";Жалпы рұқсат беру ;Резервтік көшіру ;Рөлге негізделген қолжетімділік ;DNS қолдану ;Жүйені қайта жүктеу ;C";;;;;;;;;;
;;;;;;;;;;
"Бұлттық ортада шабуылдардан кейінгі әрекеттерді сараптау _____ аталады"";Қалпына келтіру ;Қауіпсіздік саясаты ;Инцидентті талдау ;Шифрлау ;Порттарды жабу ;C";;;;;;;;;;
;;;;;;;;;;
"Пайдаланушы әрекеттерін бақылау үшін қажет жүйе"";Дискті форматтау ;Лог талдау жүйесі ;Дерекқор өшіру ;Серверді қосу ;Шифрды бұзу ;B";;;;;;;;;;
;;;;;;;;;;
"Қауіпсіз бұлттық инфрақұрылымды жобалауда маңызды элемент "";Ашық кодты жүйе ;Икемді интерфейс ;Көпқабатты архитектура ;Тек клиенттік құрылғылар ;Жеке серверлер ;C";;;;;;;;;;
;;;;;;;;;;
"Криптографиялық алгоритмдер бұлтта ______ мақсатында пайдаланылады"";Серверді өшіру;Желіні кеңейту;Деректердің құпиялылығын сақтау;Пайдаланушыны бұғаттау;Интерфейсті жою;C";;;;;;;;;;
;;;;;;;;;;
"566 . Бұлтта орналасқан деректердің тұтастығын ______ арқылы қамтамасыз етуге болады"";Вирустарды жою ;Желіні кеңейту ;Хэштеу технологиясын қолдану ;Серверді қайта жүктеу ;Интерфейсті өзгерту ;C";;;;;;;;;;
;;;;;;;;;;
"Cloud Monitoring ______ үшін қолданылады"";Деректер базасын құру;Бағдарламаларды архивтеу;Бұлттық инфрақұрылым жұмысына бақылау жасау және өнімділікті бағалау;VPN-ді іске қосу;Электр қуатын басқару;C";;;;;;;;;;
;;;;;;;;;;
"Бұлтты инфрақұрылымда қауіпсіздік саясаттарын сақтау маңызды"";Желі трафигін арттыру үшін ;Хаттамаларды өзгерту үшін ;Қолданушылар мен деректерді қорғау үшін ;Қызметтерді жою үшін ;Порттарды ашу үшін ;C";;;;;;;;;;
;;;;;;;;;;
"Қауіпсіздік инциденттерін басқару процесі басталатын кезең"";Талдау ;Хабарлау ;Әсерді бағалау ;Қалпына келтіру ;Хаттама таңдау ;B";;;;;;;;;;
;;;;;;;;;;
"Бірнеше бұлттық провайдерлер арасындағы қауіпсіз байланыс орнату үшін ең тиімді әдіс"";DNS кештеуді арттыру;Ашық хаттамаларды қолдану;Біртұтас сәйкестендіру (Federated Identity Management);Пайдаланушы паролін жиі ауыстыру;Жалпыға қолжетімді API қолдану;C";;;;;;;;;;
;;;;;;;;;;
"Бұлттық ортада Zero Trust моделінің басты қағидасы "";Барлық ішкі трафикке сенім білдіру;Қолданушыларды автоматты түрде аутентификациялау;Барлық субъектілер мен құрылғыларды үнемі тексеру;Бір рет рұқсат берілген соң толық қолжетімділік;Қауіпсіздік саясаттарын өшіру;C";;;;;;;;;;
;;;;;;;;;;
"Бұлтты ортада қолданылатын SIEM жүйесінің басты артықшылығы "";Хаттамаларды автоматты түрде шифрлау;Серверді қашықтан басқару;Қауіпсіздік оқиғаларын нақты уақыт режимінде талдау;Пайдаланушыларды бұғаттау;Желіні кеңейту;C";;;;;;;;;;
;;;;;;;;;;
"Құпия сөзсіз аутентификацияны жүзеге асыруда кеңінен қолданылатын әдіс"";VPN;SSH;Мультифакторлық аутентификация;Биометрикалық сәйкестендіру;Парольдік файлдар;D";;;;;;;;;;
;;;;;;;;;;
"Бұлтты қауіпсіздік архитектурасында «shared responsibility model» дегеніміз "";Барлық қауіпсіздік міндеттері провайдерде болады;Қолданушыға тек UI қатынасы беріледі;Провайдер мен клиент арасында қауіпсіздік міндеттерін бөлу;Барлық қауіпсіздік шешімдерін қолданушы өзі орындайды;Тек ішкі серверлерге жауапкершілік беріледі;C";;;;;;;;;;
;;;;;;;;;;
"Бұлтты қауіпсіздікті қамтамасыз ету үшін жиі қолданылатын криптографиялық механизм"";VPN ;SSL/TLS ;FTP ;HTTP ;DHCP ;B";;;;;;;;;;
;;;;;;;;;;
"Бұлтты ортада тіркелмеген құрылғыларды анықтау үшін _____ қажет"";Құрылғыны қайта жүктеу ;MAC мекенжайларын бақылау ;IP мекенжайын өзгерту ;Дискті тазалау ;Желі трафигін шектеу ;B";;;;;;;;;;
;;;;;;;;;;
"Қауіпсіздік хаттамаларының жаңартылуын бақылайтын қызмет"";Лог жазбалар ;SIEM ;VPN сервері ;DHCP ;SSL кілті ;B";;;;;;;;;;
;;;;;;;;;;
"Бұлтты жүйелерде ақпарат ағынын шектеу үшін пайдаланылады"";DNS сервері ;API шлюздері ;Ашық порттар ;FTP клиенті ;Сервер тіркеу ;B";;;;;;;;;;
;;;;;;;;;;
"580.Бұлтты ортада «data exfiltration» шабуылын ерте анықтаудың ең тиімді әдісі "";Желіні кеңейту;Виртуалды машиналарды көшіру;Аномалияға негізделген бақылау жүйесін қолдану;Ашық деректерді автоматты шифрлау;Жүйені физикалық оқшаулау;C";;;;;;;;;;
;;;;;;;;;;
"Бұлттық қызметтегі криптографиялық кілттерді басқаруда Hardware Security Module (HSM) атқаратын рөл "";Деректерді жою;Пайдаланушыны шектеу;Құпия кілттерді қауіпсіз сақтау және өңдеу;IP мекенжайын басқару;Хаттамаларды өзгерту;C";;;;;;;;;;
;;;;;;;;;;
"Көп пайдаланушы қатынайтын SaaS платформаларында бір қолданушының деректерінің екіншіге көріну қаупін азайту үшін тәсіл қолданылады"";Жалпыға ортақ мәлімет базасы;Ашық API интерфейсі;Мәліметтерді оқшаулау (Data Isolation);Құрылғы сәйкестендіру;Пайдаланушы кэшін тазалау;C";;;;;;;;;;
;;;;;;;;;;
"Бұлтты ортада қауіпсіз DevOps (DevSecOps) енгізудің негізгі себебі"";Хаттамалар санын арттыру;Тестілеу уақытын қысқарту;Қауіпсіздікті әзірлеу процесіне ендіру;Пайдаланушы деректерін жою;Шифрлауды болдырмау;C";;;;;;;;;;
;;;;;;;;;;
"Бұлтты жүйедегі IAM (Identity and Access Management) қатесінің ең қауіпті салдары болуы мүмкін"";Жүйенің баяу жұмысы;Желідегі ақау;Рұқсатсыз тұлғаның маңызды ресурстарға қол жеткізуі;Электрондық пошта істен шығуы;Файлдарды автоматты түрде жою;C";;;;;;;;;;
;;;;;;;;;;
"Бұлттық инфрақұрылымда нақты уақыттағы аномалияларды анықтаудың күрделі әдісі  "";Пайдаланушы интерфейсін тексеру ;Күніне бір рет журналды оқу ;Машиналық оқытуға негізделген мониторинг жүйесін пайдалану ;IP сүзгілеуді қолдану ;FTP журналдарын сақтау ;C";;;;;;;;;;
;;;;;;;;;;
"Қауіпсіздік талаптарын біріздендіру үшін көп бұлттық жүйелерде қолданылатын стратегия"";Әрбір провайдер үшін жеке саясат жазу ;Ашық желіні пайдалануға рұқсат беру ;Бірыңғай саясат басқару жүйесін енгізу ;Серверлерді физикалық біріктіру ;Интерфейсті жаңарту ;C";;;;;;;;;;
;;;;;;;;;;
"Бұлтты жүйелердегі пайдаланушының құқық артықшылығы артып кетуінен туындайтын тәуекелге қарсы әдіс "";Серверді өшіру ;Барлық қолданушыларды әкімші ету ;Уақытша және шектеулі рөлдерге негізделген саясат қолдану ;Деректерді шифрлау ;DNS мекенжайын өзгерту ;C";;;;;;;;;;
;;;;;;;;;;
"Zero-Day осалдықтарын дер кезінде жою үшін ең тиімді амал болып саналады"";Виртуалды серверлерді көшіру ;Жүйені толық өшіру ;Қауіпсіздік патчтарын жедел енгізу ;Серверлерді қайта жүктеу ;DNS кешін тазалау ;C";;;;;;;;;;
;;;;;;;;;;
"Бұлт провайдері SLA шарттарын бұзғанда туындайтын қауіптер"";Тек поштаның кідірісі ;Интерфейсті өзгерту;Қауіпсіздік жүйесінің әлсіреуі және рұқсатсыз қол жеткізу ;Желі жылдамдығының артуы ;Рөлдерді жоғалту;C";;;;;;;;;;
;;;;;;;;;;
"Бұлттық ортада «қол жеткізу құқықтарының көлеңкелі артуы» (privilege creep) қауіпін болдырмау үшін тиімді амал"";IP сүзгілеу;Қолмен тіркеуді алып тастау;Уақытша рөлге негізделген рұқсат беру саясатын енгізу;Сервер жүктемесін бақылау;Ашық кілтпен шифрлау;C";;;;;;;;;;
;;;;;;;;;;
"Бірнеше бұлттық провайдер қолданылатын жүйелерде қауіпсіздік саясатын орталықтандыру үшін ұсынылады"";Әр провайдер үшін бөлек логин жүйесін орнату;API қолжетімділігін шектеу;Бірыңғай саясат басқару шешімін (Unified Policy Management) қолдану;Барлық лог-файлдарды жою;DNS конфигурациясын өзгерту;C";;;;;;;;;;
;;;;;;;;;;
"Бұлтты ортада деректерді өңдеу барысында «data residency» саясаты білдіреді"";Деректердің резервтік көшірмесін сақтау мерзімі;Қолданушыларды тіркеу географиясы;Деректер қай елдің заңнамасына бағынатынын анықтау;Виртуалды машиналарды біріктіру;Сервер қуатын өлшеу;C";;;;;;;;;;
;;;;;;;;;;
"Бұлтты қызметтегі Zero-Day осалдығын басқаруда басым амал болып табылады"";DNS шифрлау;Виртуализацияны тоқтату;Қауіпсіздік патчтарын жылдам енгізу;Қолмен журнал жүргізу;Сертификат қолдану;C";;;;;;;;;;
;;;;;;;;;;
"Бұлттық жүйеде қол жеткізу журналдарын талдаудың негізгі мақсаты "";Виртуалды серверлерді қосу;Қауіпсіздік бұзушылықтарын анықтау;API жылдамдығын арттыру;DNS мекенжайын сақтау;Интерфейсті өзгерту;B";;;;;;;;;;
;;;;;;;;;;
"Қауіпсіз бұлттық архитектура құруда қауіп-қатерлердің ықтимал салдарын болжау аталады"";Шифрлау;Желіні кеңейту;Тәуекелді модельдеу;Серверді ажырату;Пайдаланушыларды тіркеу;C";;;;;;;;;;
;;;;;;;;;;
"Қауіпсіздік оқиғаларынан кейін деректерді қайта қалпына келтіру процесі аталады"";Логты талдау;Тіркеуді жаңарту;Қалпына келтіру жоспары;Рөлдерді қайта бөлу;Интерфейсті өшіру;C";;;;;;;;;;
;;;;;;;;;;
"Қолданушы рұқсаттарын шектеу үшін RBAC (Role-Based Access Control) пайдаланылады"";Жүйені өшіру үшін;Барлық қолданушыларға қол жеткізу беру үшін;Рөлге байланысты шектеу енгізу үшін;Серверді резервке алу үшін;Виртуалды орта қосу үшін;C";;;;;;;;;;
;;;;;;;;;;
"API қауіпсіздігін қамтамасыз ету үшін жиі қолданылатын әдіс"";Порттарды ашу;SSL сертификатын қолдану;DNS серверін бұғаттау;Серверді тоқтату;Файлдарды шифрлау;B";;;;;;;;;;
;;;;;;;;;;
"Бұлттағы мәліметтердің сыртқа таралуын болдырмау үшін маңызды саясат"";Желіні кеңейту саясаты;Деректерді сақтау саясаты;Мәліметтерді жіберуге шектеу саясаты (DLP);Физикалық шектеу саясаты;Кэш тазалау саясаты;C";;;;;;;;;;
;;;;;;;;;;
"Қолданушылар белсенділігін бақылау үшін тиімді құрал"";VPN;SSH;SIEM жүйесі;DNS фильтр;TLS сертификаты;C";;;;;;;;;;
